('arjun', 'pandav', 1)
('madhav', 'krishna', 0)
('admin', 'admin', 1)
('admin', 'admin', 1)
('admin', 'admi', 1)
('admi', 'admi', 1)
('admin', 'admin', 1)
('admin', 'admin', 1)
('admin', 'admin', 1)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 1)
('admin', 'admin', 0)
('admin', 'admin', 0)
('cvdgvfd', 'sadwe', 0)
('cvdgvfd', 'sadwe', 0)
('admin', 'admin', 0)
('admin', 'admin', 1)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
('admin', 'admin', 0)
